FLUJO DE CAJA MENSUAL - AREPARTIR 2025,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,
Tipo de cambio USD: Col. 503.65,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CATEGORIA,SUBCATEGORIA,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,TOTAL ANUAL,PROMEDIO MENSUAL
,,,,,,,,,,,,,,,
INGRESOS,,,,,,,,,,,,,,,
Ingresos Brutos (Creditos Bancarios),Total segun estados de cuenta,6639552,10707528,6844720,7470245,6676986,8463472,7130930,9132225,9461888,6934395,7547791,13165633,100175365,8347947
Ajuste: Desembolso Prestamo Feb,No es ingreso operativo,0,-3431166,0,0,0,0,0,0,0,0,0,0,-3431166,
Ajuste: Intereses Bancarios,No es ingreso operativo,-274,-308,-400,-450,-538,-593,-500,-550,-514,-480,-520,-720,-5847,-487
INGRESOS OPERATIVOS NETOS,,6639278,7276054,6844320,7469795,6676448,8462879,7130430,9131675,9461374,6933915,7547271,13164913,96738352,8061530
,,,,,,,,,,,,,,,
GASTOS FIJOS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ALQUILER Y LOCAL,,,,,,,,,,,,,,,
Alquiler (Don Jorge $400 USD),Pago efectivo,201460,201460,201460,201460,201460,201460,201460,201460,201460,201460,201460,201460,2417520,201460
Seguridad (Don Ramon),Pago efectivo,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,360000,30000
Subtotal Alquiler y Local,,231460,231460,231460,231460,231460,231460,231460,231460,231460,231460,231460,231460,2777520,231460
,,,,,,,,,,,,,,,
SERVICIOS PUBLICOS,,,,,,,,,,,,,,,
Electricidad CNFL (cuenta 2799744),Pago banco,163375,133050,145000,155000,145115,159635,160000,165000,174685,158000,162000,175000,1895860,157988
Electricidad CNFL (cuenta 0000375),Segunda cuenta,0,0,0,0,35870,50280,48000,52000,51800,45000,48000,55000,385950,32163
Agua AYA (cuenta 5264734),Pago banco,34380,34624,30000,28000,29102,29102,30000,28000,25888,27000,29000,32000,357096,29758
Internet TIGO (cuenta 116794),Pago banco,30575,30575,32000,33000,33186,33186,35000,36000,66372,38000,40000,42000,449894,37491
Telefono Claro,Recargas prepago,2500,1000,1500,1500,2000,1500,1500,2000,5000,2000,2500,3000,26000,2167
Subtotal Servicios Publicos,,230830,199249,208500,217500,245273,273703,274500,283000,323745,270000,281500,307000,3114800,259567
,,,,,,,,,,,,,,,
GAS Y COMBUSTIBLE,,,,,,,,,,,,,,,
