PLANTILLA DE COSTEO DE RECETAS / FOOD COST,,,,,,
,,,,,,
INFORMACION DE LA RECETA,,,,,,
Nombre de la receta:,Arepa Reina Pepiada,,,,,
Categoria:,Arepas,,,,,
Porciones que rinde:,1 unidad,,,,,
Fecha:,24/01/2026,,,,,
Preparado por:,Pablo Pereira,,,,,
,,,,,,
INGREDIENTES Y COSTOS,,,,,,
No,INGREDIENTE,CANTIDAD,UNIDAD,COSTO/UNIDAD,COSTO TOTAL,
,,,,,,
,MASA BASE (SR-015),,,,,,
1,Harina PAN (maiz precocida),50,g,1.69,84.50,
2,Agua,90,ml,0.00,0.00,
3,Sal,1.25,g,0.88,1.10,
,,,,,,
,RELLENO REINA (SR-006) - 70g,,,,,,
4,Pollo Reina desmechado (SR-005),28,g,4.40,123.20,
5,Aguacate Hass,28,g,3.00,84.00,
6,Mayonesa Real Sysco,14,g,3.75,52.50,
,,,,,,
,EMPAQUE,,,,,,
7,Bandeja bagazo 9x6x3,1,unidad,75.80,75.80,
,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
,,,,,,
SUBTOTAL - Costo de ingredientes:,,,,421.10,,
,,,,,,
Factor de desperdicio/varianza (%):,,,,,2%,
COSTO AJUSTADO (con desperdicio):,,,,429.52,,
,,,,,,
Food/Beverage Margen Objetivo (%):,,,,,80%,
PRECIO DE VENTA SUGERIDO:,,,,2147.62,,
,,,,,,
PRECIO DE VENTA REAL:,,,,4700.00,,
MARGEN DE CONTRIBUCION:,,,,4270.48,,
MARGEN DE CONTRIBUCION (%):,,,,,90.86%,
FOOD COST (%):,,,,,9.14%,
,,,,,,
ANALISIS DE LA RECETA,,,,,,
,,,,,,
COMPONENTE,COSTO,% DEL TOTAL,,,,
Masa base (harina + sal),85.60,19.93%,,,,
Pollo Reina,123.20,28.68%,,,,
Aguacate Hass,84.00,19.56%,,,,
Mayonesa Sysco,52.50,12.22%,,,,
Empaque (bandeja),75.80,17.65%,,,,
Desperdicio 2%,8.42,1.96%,,,,
TOTAL,429.52,100.00%,,,,
,,,,,,
EVALUACION,,,,,,
Food Cost 9.14%,EXCELENTE,(Meta industria: 28-35%),,,,
Margen bruto 90.86%,SUPER ESTRELLA,,,,,,
Producto mas vendido 2025,3057 unidades vendidas en Uber Eats,,,,,,
Ventas totales Uber 2025,15370200,colones,,,,
,,,,,,
NOTAS:,,,,,,
1. La Reina Pepiada es el PRODUCTO ESTRELLA de Arepartir,,,,,,
2. Ingrediente mas costoso: Pollo Reina (28.68% del costo total),,,,,,
3. El empaque representa 17.65% del costo - oportunidad de optimizacion,,,,,,
4. El aguacate es ingrediente variable por temporada (precio puede fluctuar),,,,,,
5. Precio de venta actual (4700) genera margen excepcional de 91%,,,,,,
,,,,,,
PROVEEDORES CLAVE:,,,,,,
INGREDIENTE,PROVEEDOR,PRECIO COMPRA,PRESENTACION,,,
Harina PAN,Mayca / Price Smart,1690,1 kg,,,
Pollo pechuga,Price Smart,4350,1 kg,,,
Aguacate Hass,Mercadito de Guelo,600,1 unidad (~200g),,,
Mayonesa Sysco,Mayca,2999,800g envase,,,
Bandeja bagazo,Salma Pack,75.80,unidad,,,
