PLANTILLA DE COSTEO DE RECETAS / FOOD COST,,,,,,
,,,,,,
INFORMACION DE LA RECETA,,,,,,
Nombre de la receta:,Tequenos de Chocolate de Leche,,,,,
Categoria:,Bocas / Snacks,,,,,
Porciones que rinde:,Paquete de 6 unidades (cocidos),,,,,
Fecha:,24/01/2026,,,,,
Preparado por:,Pablo Pereira,,,,,
,,,,,,
INGREDIENTES Y COSTOS (POR 1 TEQUENO COCIDO),,,,,,
No,INGREDIENTE,CANTIDAD,UNIDAD,COSTO/UNIDAD,COSTO TOTAL,
,,,,,,
,MASA (SR-018) - 1/160 del lote,,,,,,
1,Harina de trigo Nacarina,11.25,g,0.81,9.11,
2,Margarina Corona (bloque),1.45,g,1.69,2.45,
3,Huevo,0.047,unidad,126.67,5.94,
4,Azucar,0.34,g,0.77,0.26,
5,Sal,0.23,g,0.88,0.20,
6,Polvo de hornear Fleischman,0.21,g,1.75,0.36,
7,Agua,2.47,ml,0.00,0.00,
,,,,,,
,RELLENO,,,,,,
8,Cobertura chocolate #117,10,g,7.45,74.50,
,,,,,,
,COCCION (fritura),,,,,,
9,Aceite Doral Heavy Duty,10,ml,1.12,11.20,
10,Gas proporcional,1,porcion,1.00,1.00,
,,,,,,
,SUBTOTAL POR TEQUENO COCIDO,,,,105.02,,
,,,,,,
COSTO PARA 6 UNIDADES,,,,,,
,,,,,,
Costo 6 tequenos (6 x 105.02):,,,,630.12,,
Factor de desperdicio (%):,,,,,0%,
COSTO AJUSTADO:,,,,630.12,,
,,,,,,
PRECIO DE VENTA (6 und):,,,,4350.00,,
MARGEN DE CONTRIBUCION:,,,,3719.88,,
MARGEN DE CONTRIBUCION (%):,,,,,85.51%,
FOOD COST (%):,,,,,14.49%,
,,,,,,
TABLA DE TODAS LAS PRESENTACIONES (COCIDOS),,,,,,
,,,,,,
CANTIDAD,COSTO TOTAL,PRECIO VENTA,FOOD COST %,MARGEN,MARGEN %,PRECIO/UNIDAD
6,630.12,4350,14.49%,3719.88,85.51%,725.00
20,2100.40,10800,19.45%,8699.60,80.55%,540.00
30,3150.60,16200,19.45%,13049.40,80.55%,540.00
40,4200.80,19700,21.32%,15499.20,78.68%,492.50
50,5251.00,23100,22.73%,17849.00,77.27%,462.00
,,,,,,
COMPARATIVA: COCIDO vs CONGELADO,,,,,,
,,,,,,
CONCEPTO,COSTO CRUDO,COSTO COCIDO,DIFERENCIA,,,
Costo por unidad,92.82,105.02,+12.20 (13% mas),,,
Costo 6 unidades,556.92,630.12,+73.20,,,
,,,,,,
DESGLOSE COSTO COCCION POR UNIDAD,,,,,,
Aceite absorbido (10ml x 1.12):,,,,11.20,,
Gas proporcional:,,,,1.00,,
TOTAL COCCION:,,,,12.20,,
,,,,,,
COMPARATIVA CON TEQUENOS DE QUESO,,,,,,
,,,,,,
PRESENTACION,QUESO COSTO,CHOCOLATE COSTO,DIFERENCIA,% MAS CARO,,
6 und cocidos,420.72,630.12,209.40,49.77%,,
,,,,,,
OBSERVACION:,El chocolate cuesta 50% mas que el queso pero el precio sube solo 6% (4100 vs 4350),,,,,
El margen de chocolate es menor pero sigue siendo EXCELENTE,,,,,,,
,,,,,,
ANALISIS DE LA RECETA,,,,,,
,,,,,,
COMPONENTE,COSTO,% DEL TOTAL,,,,
Masa (harina+margarina+huevo+otros),18.32,17.44%,,,,
Cobertura chocolate #117,74.50,70.94%,,,,
Coccion (aceite + gas),12.20,11.62%,,,,
TOTAL POR TEQUENO COCIDO,105.02,100.00%,,,,
,,,,,,
EVALUACION,,,,,,
Food Cost 14.49% (6 und),ESTRELLA,(Meta industria: 28-35%),,,,
Margen bruto 85.51%,EXCELENTE,,,,,,
Ventas Uber Eats 2025,217 paquetes de 6 und + 14 paquetes de 20 und,,,,,,
Ingresos totales 2025,1283450,colones (6 und + 20 und),,,,
,,,,,,
NOTAS:,,,,,,
1. El chocolate representa el 71% del costo de cada tequeno cocido,,,,,,,
2. La coccion (aceite + gas) representa el 12% del costo total,,,,,,,
3. La masa rinde 160 tequenos por lote (costo total masa: 2931.12),,,,,,,
4. No se incluye empaque - los tequenos van en bandejas reutilizables,,,,,,,
5. Productos descontinuados: Chocolate Oscuro y Jamon y Queso,,,,,,,
,,,,,,
PROVEEDORES CLAVE:,,,,,,
INGREDIENTE,PROVEEDOR,PRECIO COMPRA,PRESENTACION,,,
Harina Nacarina,Mayca,20190,saco 25kg,,,
Margarina Corona,Mayca,3525,bloque 2.08kg,,,
Cobertura chocolate #117,Mayca,3727,tableta 500g,,,
Polvo hornear Fleischman,Mayca,4383,2.5 kg,,,
Aceite Doral Heavy Duty,Mayca,19040,galon 17L,,,
