ESTADO DE GANANCIAS Y PERDIDAS - AREPARTIR 2025,,,,,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,,,,,
Expresados en Colones Costarricenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL 2025,,,,,,
,,,,,,,,,,,,,,,,,,,
VENTAS NETAS," ?6,639,278 "," ?7,276,054 "," ?6,844,320 "," ?7,469,795 "," ?6,676,448 "," ?8,462,879 "," ?7,130,430 "," ?9,131,675 "," ?9,461,374 "," ?6,933,915 "," ?7,547,271 "," ?13,164,913 "," ?96,738,352 ",,,,,,
,,,,,,,,,,,,,,,,,,,
COSTO DE VENTA,,,,,,,,,,,,,,,,Food Cost ponderado,,,
Materia Prima (Alimentos y Bebidas)," ?1,066,311 "," ?1,168,581 "," ?1,099,242 "," ?1,199,697 "," ?1,072,281 "," ?1,359,193 "," ?1,145,193 "," ?1,466,606 "," ?1,519,558 "," ?1,113,632 "," ?1,212,140 "," ?2,114,370 "," ?15,536,804 ",,,,Mix Ventas,Food Cost,
Mano de Obra Directa (Cocina)," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?1,525,300 "," ?18,303,600 ",,,Arepas ,45%,17%,0.07524
Carga Fabril (Gas + Servicios Produccion)," ?80,000 "," ?80,000 "," ?80,000 "," ?75,000 "," ?75,000 "," ?80,000 "," ?80,000 "," ?80,000 "," ?80,000 "," ?78,000 "," ?80,000 "," ?82,000 "," ?950,000 ",,,Empanadas,25%,16.77%,0.041917857
Alquiler Local," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?231,460 "," ?2,777,520 ",,,Teque�os ,23%,13.80%,0.0317446
Servicios Publicos (Punto de Venta)," ?115,415 "," ?99,624 "," ?104,250 "," ?108,750 "," ?122,636 "," ?136,851 "," ?137,250 "," ?141,500 "," ?161,872 "," ?135,000 "," ?140,750 "," ?153,500 "," ?1,557,398 ",,,Otros ,7%,17%,0.011704
Mantenimiento Local," ?45,333 "," ?45,333 "," ?135,333 "," ?110,333 "," ?45,333 "," ?147,333 "," ?45,333 "," ?110,333 "," ?135,333 "," ?45,333 "," ?45,333 "," ?135,337 "," ?1,046,000 ",,,,,,16.06%
Depreciacion Equipos," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?50,000 "," ?600,000 ",,,,,,
TOTAL COSTO DE VENTA," ?3,113,819 "," ?3,200,298 "," ?3,225,585 "," ?3,300,540 "," ?3,122,010 "," ?3,530,137 "," ?3,214,536 "," ?3,605,199 "," ?3,703,523 "," ?3,178,725 "," ?3,284,983 "," ?4,291,967 "," ?40,771,322 ",,,,,,
,,,,,,,,,,,,, ?-   ,,,,,,
UTILIDAD BRUTA," ?3,525,459 "," ?4,075,756 "," ?3,618,735 "," ?4,169,255 "," ?3,554,438 "," ?4,932,742 "," ?3,915,894 "," ?5,526,476 "," ?5,757,851 "," ?3,755,190 "," ?4,262,288 "," ?8,872,946 "," ?55,967,030 ",,,,,,
Margen Bruto %,53.10%,56.02%,52.87%,55.81%,53.24%,58.29%,54.92%,60.52%,60.86%,54.16%,56.47%,67.40%,57.85%,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS OPERATIVOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS ADMINISTRATIVOS,,,,,,,,,,,,,,,,,,,
Nomina Administrativa (Gerencia)," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?1,500,000 "," ?18,000,000 ",,,,,,
Cargas Sociales (CCSS + INS)," ?286,857 "," ?286,867 "," ?295,000 "," ?298,000 "," ?300,000 "," ?427,155 "," ?302,000 "," ?304,107 "," ?304,000 "," ?300,000 "," ?305,000 "," ?427,008 "," ?3,835,994 ",,,,,,
Contabilidad y Legal, ?-   ," ?45,000 ", ?-   , ?-   ," ?45,000 ", ?-   , ?-   ," ?45,000 ", ?-   , ?-   ," ?45,000 ", ?-   ," ?180,000 ",,,,,,
Servicios Publicos (Admin)," ?115,415 "," ?99,625 "," ?104,250 "," ?108,750 "," ?122,637 "," ?136,852 "," ?137,250 "," ?141,500 "," ?161,873 "," ?135,000 "," ?140,750 "," ?153,500 "," ?1,557,402 ",,,,,,
Subtotal Gastos Administrativos," ?1,902,272 "," ?1,931,492 "," ?1,899,250 "," ?1,906,750 "," ?1,967,637 "," ?2,064,007 "," ?1,939,250 "," ?1,990,607 "," ?1,965,873 "," ?1,935,000 "," ?1,990,750 "," ?2,080,508 "," ?23,573,396 ",,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS DE VENTAS,,,,,,,,,,,,,,,,,,,
