Period,Time Increment,Sales,Orders,Ticket Size,Currency Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,marzo," ?4,821,150.00 ",362,"13,318.09",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,abril," ?3,818,350.00 ",276,"13,834.60",CRC,,,,,,,,,,,,,10503313.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,mayo," ?4,491,400.00 ",300,"14,971.33",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,junio," ?4,733,050.00 ",313,"15,121.57",CRC,,,21080.75,,,,,4361,,23630.05,,,11766,,,,68340.85,,,20590.5,,,62948.1,,,70166.91,,,126729.63,,,108884.53,,,,15000,,,,,614179.34
Last period,julio," ?4,085,550.00 ",277,"14,749.28",CRC,,,2175,,"1,086,629.94",,,44786,,10,,,,1005195.38,,,73353.82,,,38800,,,25500,,,14200,,,15750,,,20000,,,,326382.47,,,,,495354.95
Last period,agosto," ?5,107,450.00 ",354,"14,427.82",CRC,,,3000,,"1,031,228.55",,,23550,,,477391.2,,,,,,60594.9,,,12632.19,,,81025.16,,,56000,,,33400,,,18000,,,,,786044.86,,,4450,
Last period,sept," ?4,514,050.00 ",304,"14,848.85",CRC,,,10,,"977,403.31",,,20600,,35202.77,,,10,,,,4500,,,23000,1024896.23,,19450,,,88146.95,,,106192.68,,,96250,,,,4400,,,,221887.36,
Last period,oct," ?5,281,350.00 ",348,"15,176.29",CRC,,,37500,,"907,721.36",,,7468.46,,14300,,,10,,,,17698.03,,,12050,,,10750,,,169528.45,,,15000,,,,804930.84,,,3950,,,,12500,
Last period,nov," ?5,372,850.00 ",373,"14,404.42",CRC,,,84558.95,,"4,002,983.16",,,41500,,22500,,,28000,,,,,1062766.48,,23500,,,74027.75,,,17300,,,16300,,,24500,,,,4450,,,,4450,
Last period,dic," ?6,411,700.00 ",422,"15,193.60",CRC,,,19900,,,,,1,,44000,,,24100,,,,7900,,,4450,,,,1032992.34,,,769546.68,,7000,,,6500,,,,19650,,,,15350,
Last period,Month," ?5,588,350.00 ",389,"14,365.94",CRC,,,15000,,,,,31550,,40053.43,,,56635.21,,,,103000,,,10500,,,9800,,,30000,,,8600,,,2300,,,,36850,,,,39200,
Last period,Month," ?6,080,050.00 ",411,"14,793.31",CRC,,,33435.05,,,,,9000,,15800,,,38500,,,,53437.25,,,50838.93,,,15000,,,15000,,,111188.7,,,111218.86,,,,50750,,,,9100,
This period,Month," ?5,762,050.00 ",388,"14,850.64",CRC,,,,907721.36,,,,59500,,7900,,,3800,,,,35800,,,26000,,,12300,,,14800,,,43800,,,41500,,,,53535.3,,,,13100,
This period,Month," ?6,018,850.00 ",388,"15,512.50",CRC,,,121631.03,,,,,8150,,34750,,,4500,,,,20750,,,11800,,,44500,,,14300,,,38000,,,43700,,,,16500,,,,38800,
This period,Month," ?6,043,800.00 ",412,"14,669.42",CRC,,,5000,,,,,73402,,15800,,,21000,,,,23500,,,23500,,,13300,,,45850,,,162861.05,,,2500,,,,12500,,,,34440.11,
This period,Month," ?6,212,050.00 ",406,"15,300.62",CRC,,,9461.83,,,,,49490,,19070.73,,,50789.9,,,,39800,,,21600,,,95000,,,7900,,,,1177124.37,,23000,,,,143692.28,,,,100000,
This period,Month," ?4,690,250.00 ",312,"15,032.85",CRC,,,21500,,,,,7600,,31500,,,16276.3,,,,143888.38,,,23000,,,181294.45,,,155979.58,,,15900,,,4450,,,,17500,,,,37050,
This period,Month," ?6,044,400.00 ",407,"14,851.11",CRC,,,29905.25,,,,,17346,,9800,,,4450,,,,16800,,,24600,,,24500,,,30800,,,23581.03,,,47652.3,,,,16000,,,,60000,
This period,Month," ?5,146,200.00 ",341,"15,091.50",CRC,,,34268.48,,,,,,881358.44,10400,,,200000,,,,42000,,,89960.88,,,4500,,,196737.33,,,44800,,,39700,,,,112218.23,,,,79340.01,
This period,Month," ?6,466,900.00 ",395,"16,371.90",CRC,,,198300,,,,,15000,,115797.05,,,23500,,,,26400,,,20590.5,,,85548.63,,,25750,,,17250,,,18500,,,,29800,,,,60000,
This period,Month," ?6,603,350.00 ",434,"15,215.09",CRC,,,23188.83,,,,,50286.5,,103638.85,,,50005.5,,,,4400,,,15000,,,52500,,,,984078.77,,123886.18,,,15000,,,,29800,,,,42000,
This period,Month," ?5,258,950.00 ",339,"15,513.13",CRC,,,,977403.31,,,,22500,,181000.3,,,,847641.96,,,8900,,,25000,,,21000,,,8200,,,20850,,,14700,,,,23500,,,,17992.18,
This period,Month," ?5,911,900.00 ",375,"15,765.07",CRC,,,11500,,,,,112847,,,1025367.09,,85426.53,,,,23482.98,,,52652.85,,,40249.53,,,4050,,,63800,,,61200,,,,62997.13,,,,,1051310.17
This period,Month," ?625,800.00 ",30,"20,860.00",CRC,,,12600,,,,,9000,,93386.1,,,27454,,,,100599.3,,,27748.15,,,23000,,,8500,,,35150.93,,,299000,,,,,961750.74,,,19850,
