"id","x_studio_nombre_comercial","email","phone","activity_ids","country_id","name"
"__export__.res_partner_24_e6073d7a","Pequeño Mundo","pequenomundo@pequenomundo.com","'+506 2208 2800","","Costa Rica","Alpemusa S.A."
"__export__.res_partner_16_b4d19ec9","Auto Mercado","moses@automercado.biz","'+506 2257 4242","","Costa Rica","Auto Mercado S.A."
"__export__.res_partner_17_37fcad05","Maxi Pali","jose.m.rodriguez@walmart.com","'+506 2582 8400","","Costa Rica","Corporacion de Supermercados Unidos S.R.L."
"__export__.res_partner_28_e60b1f4b","El Corte Fresco","info@cortefrescocr.com","'+506 2282 3481","","","El Corte Fresco"
"__export__.res_partner_20_dabf839a","Salma Pack","ventas@salmapack.com","'+506 4082 0980","","Costa Rica","Empaques Compostables Salmapack Ltda."
"__export__.res_partner_9_09e37a49","Arepartir","info@arepartir.com","'+506 7188 7945","","Costa Rica","Inversiones Las Chamas de Costa Rica S.A"
"__export__.res_partner_15_13dbd788","Arepartir","liliana@arepartir.com","'+506 7015 9848","","Costa Rica","Liliana Luna Turbilli"
"__export__.res_partner_14_bd93c611","Arepartir","pablo@arepartir.com","'+506 8375 5404","","Costa Rica","Pablo Pereira Magnere"
"base.partner_admin","ADMIN","info@arepartir.com","'+506 7188 7945","","Costa Rica","Arepartir"
"__export__.res_partner_10_e71e1925","Arepartir","liliana@arepartir.com","'+506 7015 9848","","Costa Rica","Liliana Luna Turbilli"
"__export__.res_partner_25_9f6d36d5","Productos Ceci","lacteosarrietarojas@gmail.com","'+506 8320 7206","","Costa Rica","Lácteos Familia Arrieta Rojas Sociedad Anónima"
"__export__.res_partner_22_cd6d2ece","HC Lácteos","jydlacteoshermanoscodega@gmail.com","'+506 8724 2595","","Costa Rica","Lácteos Hermanos Condega Sociedad Anónima"
"__export__.res_partner_8_1e960335","Mayca","serviciocliente@mayca.com","'+506 4100 4200","","Costa Rica","Mayca Auto Servicio S.A."
"__export__.res_partner_23_76a5366a","El Mercadito de Guelo","elmercaditodeguelo@gmail.com","'+506 8893 6028","","Costa Rica","Miguel Francisco Herrera Hidalgo"
"base.main_partner","Arepartir","pablo@arepartir.com","'+506 8375 5404","","Costa Rica","Pablo Pereira Magnere"
"__export__.res_partner_27_ab85934a","Pescaderia Del Mar","delmar.ventas2@gmail.com","'+506 8383 6922","","","Pescaderia Del Mar S.A."
"__export__.res_partner_26_524c973a","Pricesmart","avasquez@pricesmart.com","'+506 2283 4494","","Costa Rica","Prismar de Costa Rica S.A."
"__export__.res_partner_21_f5820e31","Productos Polar","info@samyork.co","'+506 4001 0537","","Costa Rica","Samyork Sociedad Anonima"
"__export__.res_partner_11_cb71d8fc","MxM","sac@walmart.com","'+506 800-800-0722","","Costa Rica","Supermercado Mas x Menos"
"__export__.res_partner_19_3b529948","Surtiplast","surtiplastcr@gmail.com","'+506 7009 3643","","Costa Rica","Surtiplast S.A."
