"id","barcode","id","name","standard_price","uom_id","default_code","qty_available","categ_id","sale_ok","purchase_ok","available_in_pos","description","seller_ids/company_id","seller_ids/price","base_unit_id","seller_ids/product_uom_id/name","seller_ids/min_qty","seller_ids/company_id/id","seller_ids/company_id/name"
"__export__.product_template_57_47e802ba","160606","__export__.product_template_57_47e802ba","Aceite Doral Heavy Duty","19040.0","Galón-17L","M5009","0.0","TODAS LAS CUENTAS / Costo Producto / Abarrotes","","True","","<p>Abarrote para elaboración de receta</p>","Pablo Pereira Magnere","1120.0","","L","17.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_59_97e6f4c0","8410179100050","__export__.product_template_59_97e6f4c0","Aceite Oliva Borges 250ML","1760.0","Pote-250","M5011","0.0","TODAS LAS CUENTAS / Costo Producto / Abarrotes","","True","","<p>Abarrote para elaboración de receta</p>","Pablo Pereira Magnere","7.04","","ml","250.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_58_85d416f9","160603","__export__.product_template_58_85d416f9","Aceite Vegetal Doral x Gal.","4590.0","Galón2.83","M5010","0.0","TODAS LAS CUENTAS / Costo Producto / Abarrotes","","True","","<p>Abarrote para elaboración de receta</p>","Pablo Pereira Magnere","1621.91","","L","2.83","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1122_53edbcf8","130646","__export__.product_template_1122_53edbcf8","Aderezo mayonesa MFS x Gal.","4490.0","Unidades","M3002","0.0","TODAS LAS CUENTAS / Costo Producto / Proteínas y Refrigerados","","True","","<p>Proteínas y/o Refrigerados para elaboración de receta</p>","Pablo Pereira Magnere","4490.0","","Galón3.78","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1134_2418ac0a","","__export__.product_template_1134_2418ac0a","Aguacate Hass Maduro","3000.0","kg","M2001","0.0","TODAS LAS CUENTAS / Costo Producto / Verduras y Frutas","","True","","<p>Verduras para elaboración de receta</p>","Pablo Pereira Magnere","3000.0","","kg","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1138_b0c13f6c","","__export__.product_template_1138_b0c13f6c","Ajo completo","110.0","Unidades","M2005","0.0","TODAS LAS CUENTAS / Costo Producto / Verduras y Frutas","","True","","<p>Verduras para elaboración de receta</p>","Pablo Pereira Magnere","110.0","","Unidades","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1177_0203d5c1","09030299","__export__.product_template_1177_0203d5c1","Alcohol Liquido Plux ","7400.0","Galón3.78","M1010","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Insumos de aseo y limpieza</p>","Pablo Pereira Magnere","7400.0","","Galón3.78","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1187_b82ca16b","","__export__.product_template_1187_b82ca16b","Arepa Catira","0.0","Unidades","A-003","0.0","TODOS LOS PRODUCTOS / COMIDA / AREPAS","True","","True","","","","","","","",""
"__export__.product_template_1189_1208fff6","","__export__.product_template_1189_1208fff6","Arepa Chifriarepa","0.0","Unidades","A-005","0.0","TODOS LOS PRODUCTOS / COMIDA / AREPAS","True","","True","","","","","","","",""
"__export__.product_template_1191_a7560cf3","","__export__.product_template_1191_a7560cf3","Arepa Dominó","0.0","Unidades","A-007","0.0","TODOS LOS PRODUCTOS / COMIDA / AREPAS","True","","True","","","","","","","",""
