Period,Start Date,End Date,Time Increment,Sales,Orders,Ticket Size,Currency Code
Last period,2024-01-01 00:00:00.000,2024-02-01 00:00:00.000,Month,5625300,392,14350.255102040815,CRC
Last period,2024-02-01 00:00:00.000,2024-03-01 00:00:00.000,Month,6105000,413,14782.082324455207,CRC
Last period,2024-03-01 00:00:00.000,2024-04-01 00:00:00.000,Month,5775650,390,14809.358974358975,CRC
Last period,2024-04-01 00:00:00.000,2024-05-01 00:00:00.000,Month,6045500,390,15501.28205128205,CRC
Last period,2024-05-01 00:00:00.000,2024-06-01 00:00:00.000,Month,6070350,414,14662.68115942029,CRC
Last period,2024-06-01 00:00:00.000,2024-07-01 00:00:00.000,Month,6241150,408,15296.936274509804,CRC
Last period,2024-07-01 00:00:00.000,2024-08-01 00:00:00.000,Month,4690250,312,15032.852564102564,CRC
Last period,2024-08-01 00:00:00.000,2024-09-01 00:00:00.000,Month,6073150,409,14848.77750611247,CRC
Last period,2024-09-01 00:00:00.000,2024-10-01 00:00:00.000,Month,5161350,342,15091.666666666666,CRC
Last period,2024-10-01 00:00:00.000,2024-11-01 00:00:00.000,Month,6354700,393,16169.720101781171,CRC
Last period,2024-11-01 00:00:00.000,2024-12-01 00:00:00.000,Month,6739050,439,15350.911161731206,CRC
Last period,2024-12-01 00:00:00.000,2025-01-01 00:00:00.000,Month,5283700,340,15540.29411764706,CRC
This period,2025-01-01 00:00:00.000,2025-02-01 00:00:00.000,Month,5939100,376,15795.478723404256,CRC
This period,2025-02-01 00:00:00.000,2025-03-01 00:00:00.000,Month,5916500,372,15904.569892473119,CRC
This period,2025-03-01 00:00:00.000,2025-04-01 00:00:00.000,Month,6279100,395,15896.45569620253,CRC
This period,2025-04-01 00:00:00.000,2025-05-01 00:00:00.000,Month,5161350,332,15546.234939759037,CRC
This period,2025-05-01 00:00:00.000,2025-06-01 00:00:00.000,Month,6058200,388,15613.917525773197,CRC
This period,2025-06-01 00:00:00.000,2025-07-01 00:00:00.000,Month,6322450,393,16087.65903307888,CRC
This period,2025-07-01 00:00:00.000,2025-08-01 00:00:00.000,Month,5564050,352,15806.960227272728,CRC
This period,2025-08-01 00:00:00.000,2025-09-01 00:00:00.000,Month,6581050,395,16660.886075949365,CRC
This period,2025-09-01 00:00:00.000,2025-10-01 00:00:00.000,Month,7022900,440,15961.136363636364,CRC
This period,2025-10-01 00:00:00.000,2025-11-01 00:00:00.000,Month,6642000,439,15129.840546697038,CRC
This period,2025-11-01 00:00:00.000,2025-12-01 00:00:00.000,Month,7315000,464,15765.086206896553,CRC
This period,2025-12-01 00:00:00.000,2026-01-01 00:00:00.000,Month,6081800,386,15755.958549222798,CRC
